ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-000689,971774.0,RH-18,Soft Tissue,Rhabdomyosarcoma
ACH-000691,749715.0,HCC2157,Breast,Invasive Breast Carcinoma
ACH-000693,907318.0,KYSE-180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000694,946353.0,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000696,905991.0,OVCAR-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000697,910935.0,A3/KAW,Lymphoid,Mature B-Cell Neoplasms
ACH-000698,907295.0,DMS 53,Lung,Lung Neuroendocrine Tumor
ACH-000699,749712.0,HCC1395,Breast,Invasive Breast Carcinoma
ACH-000702,1330935.0,L-1236,Lymphoid,Hodgkin Lymphoma
ACH-000703,753551.0,DMS 79,Lung,Lung Neuroendocrine Tumor
ACH-000704,910548.0,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000706,905970.0,EKVX,Lung,Non-Small Cell Lung Cancer
ACH-000708,1659929.0,SNU-283,Bowel,Colorectal Adenocarcinoma
ACH-000711,1298157.0,JIMT-1,Breast,Invasive Breast Carcinoma
ACH-000713,906825.0,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000714,1659817.0,KMS-11,Lymphoid,Mature B-Cell Neoplasms
ACH-000716,1240223.0,TT2609-C02,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000717,906817.0,COLO-680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000718,724874.0,NCI-H2291,Lung,Non-Small Cell Lung Cancer
ACH-000719,909699.0,RMG-I,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000720,687459.0,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000722,910905.0,SNU-C1,Bowel,Colorectal Adenocarcinoma
ACH-000724,907066.0,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000725,1290906.0,HCC202,Breast,Breast Ductal Carcinoma In Situ
ACH-000727,1330973.0,NCI-H2066,Lung,Lung Neuroendocrine Tumor
ACH-000729,688010.0,NCI-H1963,Lung,Lung Neuroendocrine Tumor
ACH-000730,905956.0,SK-MEL-5,Skin,Melanoma
ACH-000733,687807.0,NCI-H1838,Lung,Non-Small Cell Lung Cancer
ACH-000738,687568.0,GB-1,CNS/Brain,Diffuse Glioma
ACH-000740,906794.0,A-253,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000743,1297439.0,COR-L95,Lung,Lung Neuroendocrine Tumor
ACH-000744,687798.0,NCI-H1623,Lung,Non-Small Cell Lung Cancer
ACH-000745,1330950.0,MOLP-8,Lymphoid,Mature B-Cell Neoplasms
ACH-000747,908474.0,NCI-H1703,Lung,Non-Small Cell Lung Cancer
ACH-000748,909717.0,SJSA-1,Bone,Osteosarcoma
ACH-000749,687985.0,DMS 273,Lung,Lung Neuroendocrine Tumor
ACH-000750,905974.0,LOX IMVI,Skin,Melanoma
ACH-000751,1330985.0,OCI-M1,Myeloid,Acute Myeloid Leukemia
ACH-000752,1240186.0,NCI-H196,Lung,SMARCA4-deficient undifferentiated tumor
ACH-000754,907322.0,L-428,Lymphoid,Hodgkin Lymphoma
ACH-000755,749716.0,HCC2218,Breast,Breast Ductal Carcinoma In Situ
ACH-000756,906871.0,GI-1,CNS/Brain,Diffuse Glioma
ACH-000757,910851.0,A427,Lung,Non-Small Cell Lung Cancer
ACH-000759,908120.0,MDA-MB-175-VII,Breast,Invasive Breast Carcinoma
ACH-000763,1659818.0,MM1-S,Lymphoid,Mature B-Cell Neoplasms
ACH-000766,687799.0,NCI-H1648,Lung,Non-Small Cell Lung Cancer
ACH-000767,688025.0,NCI-H526,Lung,Lung Neuroendocrine Tumor
ACH-000768,905960.0,MDA-MB-231,Breast,Invasive Breast Carcinoma
ACH-000769,687787.0,LK-2,Lung,Non-Small Cell Lung Cancer
ACH-000770,909253.0,P31/FUJ,Myeloid,Acute Myeloid Leukemia
ACH-000772,924248.0,TE 441.T,Soft Tissue,CIC-DUX4 Sarcoma
ACH-000775,724855.0,NCI-H727,Lung,Lung Neuroendocrine Tumor
ACH-000776,909248.0,ONS-76,CNS/Brain,Embryonal Tumor
ACH-000778,907061.0,HSC-3,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000780,908468.0,NCI-H1105,Lung,Lung Neuroendocrine Tumor
ACH-000781,1240187.0,NCI-H2023,Lung,Non-Small Cell Lung Cancer
ACH-000783,946382.0,CAMA-1,Breast,Invasive Breast Carcinoma
ACH-000784,753576.0,KYSE-70,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000786,906831.0,Daudi,Lymphoid,Mature B-Cell Neoplasms
ACH-000787,753592.0,LXF-289,Lung,Non-Small Cell Lung Cancer
ACH-000788,906792.0,A2058,Skin,Melanoma
ACH-000789,925341.0,NCI-H810,Lung,Non-Small Cell Lung Cancer
ACH-000790,724872.0,SHP-77,Lung,Lung Neuroendocrine Tumor
ACH-000792,910698.0,BFTC-909,Kidney,Renal Cell Carcinoma
ACH-000793,907276.0,KATO III,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000794,1240121.0,BICR 22,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000795,908146.0,MOLT-13,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000800,688023.0,NCI-H446,Lung,Lung Neuroendocrine Tumor
ACH-000802,910926.0,BFTC-905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000803,910692.0,COLO 668,Lung,Lung Neuroendocrine Tumor
ACH-000804,949179.0,NB-1,Peripheral Nervous System,Neuroblastoma
ACH-000805,906818.0,COLO-679,Skin,Melanoma
ACH-000806,907323.0,L-540,Lymphoid,Hodgkin Lymphoma
ACH-000809,753574.0,KYSE-410,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000810,909726.0,SK-MEL-30,Skin,Melanoma
ACH-000811,905959.0,SK-OV-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000812,1240125.0,COLO-783,Skin,Melanoma
ACH-000814,1298144.0,Hs 939.T,Skin,Melanoma
ACH-000815,909976.0,KM-H2,Lymphoid,Hodgkin Lymphoma
ACH-000816,908483.0,NCI-H524,Lung,Lung Neuroendocrine Tumor
ACH-000817,905964.0,RPMI 8226,Lymphoid,Mature B-Cell Neoplasms
ACH-000818,949093.0,BT-483,Breast,Invasive Breast Carcinoma
ACH-000819,1240168.0,LN-18,CNS/Brain,Diffuse Glioma
ACH-000821,1297447.0,EJM,Lymphoid,Mature B-Cell Neoplasms
ACH-000822,909725.0,SK-MEL-24,Skin,Melanoma
ACH-000823,753573.0,KYSE-140,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000824,907321.0,KYSE-510,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000825,905973.0,HOP-92,Lung,Non-Small Cell Lung Cancer
ACH-000826,753540.0,CAL-12T,Lung,Non-Small Cell Lung Cancer
ACH-000827,1299081.0,WM793,Skin,Melanoma
