split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
cell_blind,graphdrp,4,drug,15052,247,139,222,-0.02254347700686732,0.0030109262145125316,-0.029062506627373162,-0.01727782582657625,0.001,True
cell_blind,graphdrp,4,cell,15052,247,139,222,-0.02254347700686732,0.003980585129690996,-0.030276697133028337,-0.014740310486644105,0.001,True
cell_blind,graphdrp,4,scaffold,15052,247,139,222,-0.02254347700686732,0.0033083262141374078,-0.02979937106842847,-0.016842736552009626,0.001,True
cell_blind,graphdrp,4,twoway,15052,247,139,222,-0.02254347700686732,0.004823993272796938,-0.03199850382154932,-0.01308845019218532,2.9654524181957788e-06,True
cell_blind,cdrscan,0,rows,15052,247,139,222,-0.027176439845512212,0.0017647802016344401,-0.030617756500832,-0.023686891522229463,0.001,True
cell_blind,cdrscan,0,drug,15052,247,139,222,-0.027176439845512212,0.004395206639671327,-0.03715965274725512,-0.019953212531413644,0.001,True
cell_blind,cdrscan,0,cell,15052,247,139,222,-0.027176439845512212,0.005676365819482924,-0.03885324311805682,-0.016776937914401387,0.001,True
cell_blind,cdrscan,0,scaffold,15052,247,139,222,-0.027176439845512212,0.0046566725575393686,-0.03768470605045239,-0.019655849775785068,0.001,True
cell_blind,cdrscan,0,twoway,15052,247,139,222,-0.027176439845512212,0.006958772963815105,-0.04081563485458982,-0.013537244836434606,9.408933848513075e-05,True
cell_blind,cdrscan,1,rows,15052,247,139,222,-0.029033401207371745,0.0016119603761769157,-0.032147640434020616,-0.02590495653002357,0.001,True
cell_blind,cdrscan,1,drug,15052,247,139,222,-0.029033401207371745,0.0038833040726625706,-0.037553077493768044,-0.022543588599194298,0.001,True
cell_blind,cdrscan,1,cell,15052,247,139,222,-0.029033401207371745,0.005215779774540256,-0.039148259131948596,-0.018793803129618602,0.001,True
cell_blind,cdrscan,1,scaffold,15052,247,139,222,-0.029033401207371745,0.0042039365445514015,-0.03878198064725205,-0.022594180230167165,0.001,True
cell_blind,cdrscan,1,twoway,15052,247,139,222,-0.029033401207371745,0.006299681969980428,-0.041380777868533385,-0.016686024546210106,4.051768857321668e-06,True
cell_blind,cdrscan,2,rows,15052,247,139,222,-0.02518857772606853,0.0013460329868446297,-0.027740581388952624,-0.02242602321985387,0.001,True
cell_blind,cdrscan,2,drug,15052,247,139,222,-0.02518857772606853,0.003911292860035327,-0.033885136612004825,-0.018962602969049967,0.001,True
cell_blind,cdrscan,2,cell,15052,247,139,222,-0.02518857772606853,0.004684336239445355,-0.03492035557636132,-0.01649448566363628,0.001,True
cell_blind,cdrscan,2,scaffold,15052,247,139,222,-0.02518857772606853,0.004151042945812927,-0.03457104441663273,-0.0186513209821097,0.001,True
cell_blind,cdrscan,2,twoway,15052,247,139,222,-0.02518857772606853,0.005952261170300788,-0.036855009619858076,-0.013522145832278985,2.3186334496933608e-05,True
cell_blind,cdrscan,3,rows,15052,247,139,222,-0.024266326254833825,0.001588334925392913,-0.027359364092802894,-0.0211685092611021,0.001,True
cell_blind,cdrscan,3,drug,15052,247,139,222,-0.024266326254833825,0.003372444126971511,-0.03152035174403987,-0.018476090570193338,0.001,True
cell_blind,cdrscan,3,cell,15052,247,139,222,-0.024266326254833825,0.0052485523990463,-0.03451134390035497,-0.013948415906408159,0.001,True
cell_blind,cdrscan,3,scaffold,15052,247,139,222,-0.024266326254833825,0.0035751694270071393,-0.032192222470264716,-0.018234442396599056,0.001,True
cell_blind,cdrscan,3,twoway,15052,247,139,222,-0.024266326254833825,0.006033065045220083,-0.03609113374346519,-0.012441518766202463,5.7651708599039363e-05,True
cell_blind,cdrscan,4,rows,15052,247,139,222,-0.027262651634567092,0.0015329827117910684,-0.030349984374575503,-0.024363615134257638,0.001,True
cell_blind,cdrscan,4,drug,15052,247,139,222,-0.027262651634567092,0.0038487514356720267,-0.03576004973300387,-0.020939549610735974,0.001,True
cell_blind,cdrscan,4,cell,15052,247,139,222,-0.027262651634567092,0.004908358899652835,-0.036739543152157515,-0.017380633129184215,0.001,True
cell_blind,cdrscan,4,scaffold,15052,247,139,222,-0.027262651634567092,0.003931945802342893,-0.036313881493712244,-0.020899295200802716,0.001,True
cell_blind,cdrscan,4,twoway,15052,247,139,222,-0.027262651634567092,0.006046059767049808,-0.039112928777984717,-0.01541237449114947,6.5084771387294244e-06,True
drug_blind,drpreter,0,rows,15032,49,697,48,-0.0821213079399663,0.008460266438985438,-0.09856630515758584,-0.06539434547982231,0.001,True
drug_blind,drpreter,0,drug,15032,49,697,48,-0.0821213079399663,0.12897907081240745,-0.3377810919022961,0.14926884076256614,0.591,False
drug_blind,drpreter,0,cell,15032,49,697,48,-0.0821213079399663,0.006859252797795641,-0.09598154409690715,-0.06892967612937824,0.001,True
drug_blind,drpreter,0,scaffold,15032,49,697,48,-0.0821213079399663,0.13126884277261422,-0.36202072392807716,0.1394720323233321,0.595,False
drug_blind,drpreter,0,twoway,15032,49,697,48,-0.0821213079399663,0.12888395535658215,-0.3347338604388673,0.17049124455893472,0.5240125090094984,False
drug_blind,drpreter,1,rows,15032,49,696,48,0.04999260403772676,0.005475815247344989,0.03903810249523895,0.060574786128861545,0.001,True
drug_blind,drpreter,1,drug,15032,49,696,48,0.04999260403772676,0.08079319781865206,-0.09954416270650034,0.21751446476605996,0.543,False
drug_blind,drpreter,1,cell,15032,49,696,48,0.04999260403772676,0.004668618247750919,0.040684930409239484,0.059053739771752656,0.001,True
