model,split,seed,fold,run_tag,RMSE,MAE,PCC,Spearman,R2,Per-drug PCC,Per-cell PCC,best_val_pcc,best_val_epoch,total_train_sec,n_params,ECE,sel_RMSE@50,sel_RMSE@70,sel_RMSE@90,sel_RMSE@100,epistemic_mean,aleatoric_mean
graphdrp,scaffold_blind,0,0,,2.65534850137554,2.079054117202759,0.5418460369110107,0.43455006987634115,0.25596320629119873,0.6304535269737244,0.46235018968582153,0.539679229259491,1,765.1354947090149,2859494,,,,,,,
graphdrp,scaffold_blind,1,0,,2.74810127253263,1.9548511505126953,0.4001537561416626,0.39499916717887507,-0.028900623321533203,0.6126578450202942,0.3151296377182007,0.41290539503097534,5,1044.740650177002,2859494,,,,,,,
graphdrp,scaffold_blind,2,0,,2.7084976342078053,2.059422731399536,0.478102445602417,0.42492197861409325,0.18543154001235962,0.5766642689704895,0.4041428864002228,0.4873273968696594,1,759.8894505500793,2859494,,,,,,,
graphdrp,scaffold_blind,3,0,,2.155619100516706,1.742592692375183,0.7056931257247925,0.5798977883293288,0.4874810576438904,0.6460697054862976,0.6541677117347717,0.6989298462867737,10,1403.8349480628967,2859494,,,,,,,
graphdrp,scaffold_blind,4,0,,2.4290277008386814,1.9112781286239624,0.613280713558197,0.4596010969003756,0.36239391565322876,0.678716778755188,0.5291881561279297,0.6239567995071411,10,1395.649084329605,2859494,,,,,,,
graphdrp,tissue_blind,0,0,,1.4201986470768142,1.0886223316192627,0.863564670085907,0.8116771391068403,0.7440154552459717,0.20788738131523132,0.8978718519210815,0.8588693141937256,3,978.9723463058472,2859494,,,,,,,
graphdrp,tissue_blind,1,0,,1.4340357294034087,1.114454746246338,0.8592749834060669,0.8104972881427747,0.72823566198349,0.26461100578308105,0.89277583360672,0.863831102848053,4,1055.921548128128,2859494,,,,,,,
graphdrp,tissue_blind,2,0,,1.4921094464564146,1.1355819702148438,0.8555660247802734,0.8032447388110688,0.7179380655288696,0.10067566484212875,0.8960269689559937,0.8587280511856079,13,1723.6134676933289,2859494,,,,,,,
graphdrp,tissue_blind,3,0,,1.4684198698392752,1.1361726522445679,0.8638315796852112,0.8184669325120464,0.7246764898300171,0.30763185024261475,0.895734965801239,0.8705009818077087,6,1205.1706147193909,2859494,,,,,,,
graphdrp,tissue_blind,4,0,,1.4210339248924322,1.0873163938522339,0.8686534762382507,0.8165609349010018,0.7531083226203918,0.2829100489616394,0.8996211886405945,0.862075924873352,5,1126.8647301197052,2859494,,,,,,,
pathxdrp,cell_blind,0,0,v3,1.4175680976401606,1.0665589570999146,0.8672096729278564,0.8144184024276797,0.748318076133728,0.32153135538101196,0.8895052075386047,0.8656630516052246,1,2037.2715420722961,3031429,0.1868882261784888,1.0541983141062585,1.1769715427663021,1.311002603762534,1.4175680976401606,1.5915589332580566,0.47069141268730164
pathxdrp,cell_blind,1,0,v3,1.4407193994934553,1.0760867595672607,0.8643991351127625,0.8140285511622807,0.7394310832023621,0.3365357518196106,0.8875899314880371,0.8627574443817139,1,2021.20991396904,3031429,0.28698481161987854,1.046957041244407,1.1896556061782504,1.3304635944367365,1.4407193994934553,1.3744858503341675,0.5486387610435486
pathxdrp,cell_blind,2,0,v3,1.4451165143725626,1.0866763591766357,0.8689848780632019,0.8151602940045697,0.7395852208137512,0.3425438702106476,0.8946536779403687,0.8670700788497925,2,2193.026289463043,3031429,0.24756316307248066,1.0772116288907014,1.192626528315239,1.328488692807285,1.4451165143725626,1.4807478189468384,0.38798072934150696
